detector,heldout_family,target_train_fpr,threshold,test_failure_rate,tpr,fpr,precision,n,tp,fp,fn,tn
ref_knn5_dist,compound,0.1,0.2648610174655914,1.0,0.9523809523809523,,1.0,168,160,0,8,0
ref_knn5_dist,compound_digital,0.05,0.3151868283748626,0.8630952380952381,0.6206896551724138,0.043478260869565216,0.989010989010989,168,90,1,55,22
ref_knn5_dist,compound_digital,0.1,0.2648610174655914,0.8630952380952381,0.7931034482758621,0.08695652173913043,0.9829059829059829,168,115,2,30,21
ref_knn5_dist,compound_field,0.05,0.314635306596756,0.9583333333333334,0.8136645962732919,0.2857142857142857,0.9849624060150376,168,131,2,30,5
ref_knn5_dist,compound_field,0.1,0.2631957232952118,0.9583333333333334,0.9006211180124224,0.7142857142857143,0.9666666666666667,168,145,5,16,2
ref_knn5_dist,compound_optical,0.05,0.3126114010810852,0.8928571428571429,0.8533333333333334,0.2777777777777778,0.9624060150375939,168,128,5,22,13
ref_knn5_dist,compound_optical,0.1,0.2626878321170807,0.8928571428571429,0.9133333333333333,0.3888888888888889,0.9513888888888888,168,137,7,13,11
ref_knn5_dist,contrast,0.05,0.3216860890388489,0.0,,0.0,,224,0,0,0,224
ref_knn5_dist,contrast,0.1,0.2738977968692779,0.0,,0.0,,224,0,0,0,224
ref_knn5_dist,defocus_blur,0.05,0.314635306596756,0.8785714285714286,0.7764227642276422,0.08823529411764706,0.9845360824742269,280,191,3,55,31
ref_knn5_dist,defocus_blur,0.1,0.2617919147014618,0.8785714285714286,0.8861788617886179,0.3235294117647059,0.9519650655021834,280,218,11,28,23
ref_knn5_dist,gaussian_blur,0.05,0.3132586181163788,0.9196428571428571,0.9288025889967637,0.18518518518518517,0.9828767123287672,336,287,5,22,22
ref_knn5_dist,gaussian_blur,0.1,0.2622014284133911,0.9196428571428571,0.970873786407767,0.3333333333333333,0.970873786407767,336,300,9,9,18
ref_knn5_dist,gaussian_noise,0.05,0.3167353272438049,0.35714285714285715,0.18333333333333332,0.009259259259259259,0.9166666666666666,168,11,1,49,107
ref_knn5_dist,gaussian_noise,0.1,0.2657787799835205,0.35714285714285715,0.43333333333333335,0.05555555555555555,0.8125,168,26,6,34,102
ref_knn5_dist,green_channel_shift,0.05,0.3203084468841553,0.03571428571428571,0.25,0.004629629629629629,0.6666666666666666,224,2,1,6,215
ref_knn5_dist,green_channel_shift,0.1,0.2686657905578613,0.03571428571428571,0.5,0.041666666666666664,0.3076923076923077,224,4,9,4,207
ref_knn5_dist,illumination,0.05,0.3216860890388489,0.0,,0.0,,224,0,0,0,224
ref_knn5_dist,illumination,0.1,0.2738977968692779,0.0,,0.0,,224,0,0,0,224
ref_knn5_dist,impulse_noise,0.05,0.3167013823986053,0.5714285714285714,0.2916666666666667,0.0,1.0,168,28,0,68,72
ref_knn5_dist,impulse_noise,0.1,0.2644782960414886,0.5714285714285714,0.5520833333333334,0.1111111111111111,0.8688524590163934,168,53,8,43,64
ref_knn5_dist,jpeg,0.05,0.3050350248813629,0.30357142857142855,0.5882352941176471,0.11794871794871795,0.684931506849315,280,50,23,35,172
