dataset,backbone,perturbation,severity,accuracy,acc_clean,drop
BD11,convnext_tiny,compound_digital,moderate,0.4568181818181818,0.9,0.4431818181818182
BD11,convnext_tiny,compound_digital,severe,0.2613636363636363,0.9,0.6386363636363637
BD11,convnext_tiny,compound_field,mild,0.6840909090909091,0.9,0.2159090909090909
BD11,convnext_tiny,compound_field,moderate,0.3818181818181818,0.9,0.5181818181818182
BD11,convnext_tiny,compound_field,severe,0.2181818181818181,0.9,0.6818181818181819
BD11,swin_tiny,gaussian_blur,2,0.7681818181818182,0.890909090909091,0.1227272727272728
BD11,swin_tiny,gaussian_blur,4,0.3931818181818182,0.890909090909091,0.4977272727272728
BD11,swin_tiny,gaussian_blur,6,0.1954545454545454,0.890909090909091,0.6954545454545455
BD11,swin_tiny,gaussian_blur,8,0.1454545454545454,0.890909090909091,0.7454545454545456
BD11,swin_tiny,gaussian_blur,10,0.1227272727272727,0.890909090909091,0.7681818181818183
BD11,swin_tiny,gaussian_blur,12,0.1386363636363636,0.890909090909091,0.7522727272727273
BD11,swin_tiny,defocus_blur,3,0.8477272727272728,0.890909090909091,0.0431818181818182
BD11,swin_tiny,defocus_blur,5,0.5909090909090909,0.890909090909091,0.3
BD11,swin_tiny,defocus_blur,8,0.4295454545454545,0.890909090909091,0.4613636363636364
BD11,swin_tiny,defocus_blur,11,0.3113636363636363,0.890909090909091,0.5795454545454546
BD11,swin_tiny,defocus_blur,15,0.2136363636363636,0.890909090909091,0.6772727272727274
BD11,swin_tiny,resize,1.33,0.9386363636363636,0.890909090909091,-0.0477272727272726
BD11,swin_tiny,resize,1.67,0.8909090909090909,0.890909090909091,1.1102230246251563e-16
BD11,swin_tiny,resize,2.0,0.7977272727272727,0.890909090909091,0.0931818181818182
BD11,swin_tiny,illumination,0.7,0.968181818181818,0.890909090909091,-0.0772727272727271
BD11,swin_tiny,illumination,0.85,0.9636363636363636,0.890909090909091,-0.0727272727272726
BD11,swin_tiny,illumination,1.15,0.9522727272727272,0.890909090909091,-0.0613636363636362
BD11,swin_tiny,illumination,1.3,0.9477272727272728,0.890909090909091,-0.0568181818181817
BD11,swin_tiny,jpeg,10,0.7977272727272727,0.890909090909091,0.0931818181818182
BD11,swin_tiny,jpeg,20,0.8818181818181818,0.890909090909091,0.0090909090909091
BD11,swin_tiny,jpeg,30,0.8795454545454545,0.890909090909091,0.0113636363636364
BD11,swin_tiny,jpeg,50,0.9090909090909092,0.890909090909091,-0.018181818181818
BD11,swin_tiny,jpeg,70,0.9363636363636364,0.890909090909091,-0.0454545454545454
BD11,swin_tiny,red_channel_shift,-45,0.9545454545454546,0.890909090909091,-0.0636363636363636
BD11,swin_tiny,red_channel_shift,-30,0.9568181818181818,0.890909090909091,-0.0659090909090908
BD11,swin_tiny,red_channel_shift,30,0.95,0.890909090909091,-0.0590909090909089
BD11,swin_tiny,red_channel_shift,45,0.9386363636363636,0.890909090909091,-0.0477272727272726
BD11,swin_tiny,green_channel_shift,-45,0.8931818181818182,0.890909090909091,-0.0022727272727272
BD11,swin_tiny,green_channel_shift,-30,0.9090909090909092,0.890909090909091,-0.018181818181818
BD11,swin_tiny,green_channel_shift,30,0.9477272727272728,0.890909090909091,-0.0568181818181817
BD11,swin_tiny,green_channel_shift,45,0.925,0.890909090909091,-0.034090909090909
BD11,swin_tiny,blue_channel_shift,-45,0.9386363636363636,0.890909090909091,-0.0477272727272726
BD11,swin_tiny,blue_channel_shift,-30,0.9454545454545454,0.890909090909091,-0.0545454545454544
BD11,swin_tiny,blue_channel_shift,30,0.9522727272727272,0.890909090909091,-0.0613636363636362
BD11,swin_tiny,blue_channel_shift,45,0.9477272727272728,0.890909090909091,-0.0568181818181817
BD11,swin_tiny,gaussian_noise,0.02,0.925,0.890909090909091,-0.034090909090909
BD11,swin_tiny,gaussian_noise,0.05,0.9227272727272728,0.890909090909091,-0.0318181818181817
BD11,swin_tiny,gaussian_noise,0.1,0.9113636363636364,0.890909090909091,-0.0204545454545453
BD11,swin_tiny,shot_noise,60,0.9159090909090908,0.890909090909091,-0.0249999999999999
BD11,swin_tiny,shot_noise,30,0.9090909090909092,0.890909090909091,-0.018181818181818
BD11,swin_tiny,shot_noise,15,0.8136363636363636,0.890909090909091,0.0772727272727273
BD11,swin_tiny,impulse_noise,0.01,0.9431818181818182,0.890909090909091,-0.0522727272727272
BD11,swin_tiny,impulse_noise,0.03,0.9204545454545454,0.890909090909091,-0.0295454545454544
BD11,swin_tiny,impulse_noise,0.05,0.9136363636363636,0.890909090909091,-0.0227272727272727
BD11,swin_tiny,motion_blur,5,0.8886363636363637,0.890909090909091,0.0022727272727273
BD11,swin_tiny,motion_blur,9,0.6409090909090909,0.890909090909091,0.2500000000000001
BD11,swin_tiny,motion_blur,15,0.4795454545454545,0.890909090909091,0.4113636363636364
BD11,swin_tiny,zoom_blur,1.05,0.7340909090909091,0.890909090909091,0.1568181818181818
BD11,swin_tiny,zoom_blur,1.1,0.3295454545454545,0.890909090909091,0.5613636363636365
