backbone,backbone_label,condition,condition_label,severity_rank,reference_dataset,target_dataset,target_tag,n_reference,n_target,ref_centroid_cosine,ref_mmd_rbf
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,compound_optical_severe,2942,2942,0.5182069540023804,0.4091029763221741
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,compound_digital_mild,2942,2942,0.14276278018951416,0.13674241304397583
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,compound_digital_moderate,2942,2942,0.24993562698364258,0.2582967281341553
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,compound_digital_severe,2942,2942,0.3081744909286499,0.3192009925842285
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,compound_field_mild,2942,2942,0.32470130920410156,0.2201550006866455
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,compound_field_moderate,2942,2942,0.5177051424980164,0.3626238703727722
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,FSDM41,FSDM41,compound_field_severe,2942,2942,0.404354453086853,0.27229857444763184
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,blur_2,2121,2121,0.3237767219543457,0.1801847219467163
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,blur_4,2121,2121,0.48669523000717163,0.2728448510169983
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,blur_6,2121,2121,0.5911341905593872,0.34296631813049316
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,blur_8,2121,2121,0.6325972676277161,0.36491161584854126
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,blur_10,2121,2121,0.6233994364738464,0.3668175935745239
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,blur_12,2121,2121,0.608064591884613,0.3814101815223694
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,defocus_3,2121,2121,0.18733763694763184,0.10496377944946289
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,defocus_5,2121,2121,0.27102530002593994,0.15733224153518677
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,defocus_8,2121,2121,0.3505899906158447,0.1995829939842224
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,defocus_11,2121,2121,0.44014543294906616,0.2464393973350525
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,defocus_15,2121,2121,0.5245600342750549,0.2959551215171814
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,resize_1_33,2121,2121,0.05066734552383423,0.03308314085006714
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,resize_1_67,2121,2121,0.10255730152130127,0.05981522798538208
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,resize_2_0,2121,2121,0.16364163160324097,0.09211277961730957
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,brightness_0_7,2121,2121,0.0021021366119384766,0.0024948716163635254
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,brightness_0_85,2121,2121,0.000786900520324707,0.0016454458236694336
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,brightness_1_15,2121,2121,0.0006496906280517578,0.001777052879333496
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,brightness_1_3,2121,2121,0.0016928315162658691,0.0017656683921813965
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,jpeg_10,2121,2121,0.3612135648727417,0.23025262355804443
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,jpeg_20,2121,2121,0.2708854675292969,0.158799409866333
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,jpeg_30,2121,2121,0.23006761074066162,0.13356709480285645
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,jpeg_50,2121,2121,0.179981529712677,0.10834842920303345
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,jpeg_70,2121,2121,0.1276456117630005,0.07635259628295898
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,color_shift_-45,2121,2121,0.02352726459503174,0.016851067543029785
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,color_shift_-30,2121,2121,0.012659251689910889,0.010019898414611816
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,color_shift_30,2121,2121,0.012735903263092041,0.00988227128982544
resnet50,ResNet-50,TierB_synth,Tier-B synthetic,1,GOIMAI,GOIMAI,color_shift_45,2121,2121,0.024127423763275146,0.016395747661590576
