backbone,mag_a,mag_b,image_idx,csi,csi_bo,csi_hungarian,csi_permutation_gap
resnet50,VN26_x20,VN26_x50,58,0.13994107488709778,0.13994107488709778,0.22561892920104953,0.08567785431395175
resnet50,VN26_x20,VN26_x50,59,0.2790803749313885,0.2790803749313885,0.2790803749313885,0.0
resnet50,VN26_x20,VN26_x50,60,0.15287354450295756,0.15287354450295756,0.22950115658420198,0.07662761208124441
resnet50,VN26_x20,VN26_x50,61,0.19086425942886132,0.19086425942886132,0.2154571321513686,0.024592872722507292
resnet50,VN26_x20,VN26_x50,62,0.16706636961402796,0.16706636961402796,0.18790536017185208,0.020838990557824122
resnet50,VN26_x20,VN26_x50,63,0.14288403439757014,0.14288403439757014,0.23567953930765315,0.09279550491008301
resnet50,VN26_x20,VN26_x50,64,0.033533970248257876,0.033533970248257876,0.29899011360453304,0.26545614335627515
resnet50,VN26_x20,VN26_x50,65,0.1709234391268382,0.1709234391268382,0.20903002992213573,0.038106590795297546
resnet50,VN26_x20,VN26_x50,66,0.07517894691585007,0.07517894691585007,0.28120059032552125,0.20602164340967116
resnet50,VN26_x20,VN26_x50,67,0.020258076157178645,0.020258076157178645,0.2407380177370065,0.22047994157982787
resnet50,VN26_x20,VN26_x50,68,0.0028892941430120485,0.0028892941430120485,0.4025445872215407,0.39965529307852865
resnet50,VN26_x20,VN26_x50,69,0.10895769225369978,0.10895769225369978,0.1775776146437551,0.06861992239005532
resnet50,VN26_x20,VN26_x50,70,0.15129895678318797,0.15129895678318797,0.20389765060947904,0.052598693826291065
resnet50,VN26_x20,VN26_x50,71,0.1391813432720401,0.1391813432720401,0.15548230286605044,0.016300959594010345
resnet50,VN26_x20,VN26_x50,72,0.12265507214959172,0.12265507214959172,0.19186172993812026,0.06920665778852854
resnet50,VN26_x20,VN26_x50,73,0.1965755551703595,0.1965755551703595,0.1965755551703595,0.0
resnet50,VN26_x20,VN26_x50,74,0.09630368475071194,0.09630368475071194,0.21331653653419935,0.11701285178348741
resnet50,VN26_x20,VN26_x50,75,0.22246459774962934,0.22246459774962934,0.22246459774962934,0.0
resnet50,VN26_x20,VN26_x50,76,0.18499719189280653,0.18499719189280653,0.18499719189280653,0.0
