detector,heldout_family,train_n,test_n,test_failure_rate,threshold_from_train,train_best_f1,test_auc_roc,test_avg_precision,test_precision,test_recall,test_f1,test_fpr,tp,fp,fn,tn
ref_knn5_dist,gaussian_blur,3920,336,0.9196428571428572,0.232408806681633,0.8550458710598474,0.9579288025889968,0.9960654713238332,0.967948717948718,0.9773462783171522,0.9726247987117552,0.3703703703703703,302,10,7,17
ref_knn5_dist,gaussian_noise,4088,168,0.3571428571428571,0.232408806681633,0.8748554239739569,0.8662037037037037,0.7830248209995819,0.7924528301886793,0.7,0.743362831858407,0.1018518518518518,42,11,18,97
ref_knn5_dist,green_channel_shift,4032,224,0.0357142857142857,0.229090616106987,0.8767494351661299,0.8570601851851852,0.2889529309520149,0.1612903225806451,0.625,0.2564102564102564,0.1203703703703703,5,26,3,190
ref_knn5_dist,illumination,4032,224,0.0,0.232408806681633,0.8715058606363294,,,0.0,0.0,0.0,0.0,0,0,0,224
ref_knn5_dist,impulse_noise,4088,168,0.5714285714285714,0.232408806681633,0.8760291691073704,0.8204571759259258,0.862726805935226,0.797752808988764,0.7395833333333334,0.7675675675675675,0.25,71,18,25,54
ref_knn5_dist,jpeg,3976,280,0.3035714285714285,0.232408806681633,0.8823668634053725,0.8572549019607842,0.7449221581646351,0.5476190476190477,0.8117647058823529,0.6540284360189573,0.2923076923076923,69,57,16,138
ref_knn5_dist,motion_blur,4088,168,0.6607142857142857,0.232408806681633,0.8742004259394547,0.8692903429745535,0.9348828991410364,0.8461538461538461,0.7927927927927928,0.8186046511627907,0.2807017543859649,88,16,23,41
ref_knn5_dist,pixelate,4088,168,0.8869047619047619,0.232408806681633,0.8697741465450143,0.9049805722359592,0.9875051745143074,0.984,0.825503355704698,0.8978102189781022,0.1052631578947368,123,2,26,17
ref_knn5_dist,red_channel_shift,4032,224,0.0223214285714285,0.232408806681633,0.8734749204219971,0.6584474885844749,0.054825226533301,0.0,0.0,0.0,0.0228310502283105,0,5,5,214
ref_knn5_dist,resize,4088,168,0.1964285714285714,0.229090616106987,0.8811700177817379,0.6835016835016835,0.3696612798159028,0.3166666666666666,0.5757575757575758,0.4086021505376344,0.3037037037037037,19,41,14,94
ref_knn5_dist,rotation,4032,224,0.4285714285714285,0.2326606065034866,0.8721342467230117,0.9737955729166669,0.9699099575869862,0.8130841121495327,0.90625,0.8571428571428572,0.15625,87,20,9,108
ref_knn5_dist,scratch,4088,168,0.4107142857142857,0.229090616106987,0.8809746949077591,0.8702971746450008,0.8645999778812026,0.5075757575757576,0.9710144927536232,0.6666666666666666,0.6565656565656566,67,65,2,34
ref_knn5_dist,shot_noise,4088,168,0.8214285714285714,0.232408806681633,0.8744609482304992,0.7280193236714975,0.931802327667002,0.8709677419354839,0.782608695652174,0.8244274809160306,0.5333333333333333,108,16,30,14
ref_knn5_dist,zoom_blur,4088,168,0.8690476190476191,0.232408806681633,0.8674233271988055,0.8960149439601495,0.9832317706125032,0.9194630872483222,0.9383561643835616,0.9288135593220338,0.5454545454545454,137,12,9,10
ref_mahalanobis_delta,blue_channel_shift,4032,224,0.0089285714285714,1211.0748213665252,0.8524089814067196,0.7319819819819819,0.0348039215686274,0.0,0.0,0.0,0.0495495495495495,0,11,2,211
ref_mahalanobis_delta,compound,4088,168,1.0,1222.6001879464206,0.8413145534922238,,,1.0,0.9345238095238096,0.966153846153846,0.0,157,0,11,0
ref_mahalanobis_delta,compound_digital,4088,168,0.8630952380952381,1222.6001879464206,0.8463324043298304,0.8788605697151424,0.9748602005726176,0.9545454545454546,0.8689655172413793,0.9097472924187726,0.2608695652173913,126,6,19,17
ref_mahalanobis_delta,compound_field,4088,168,0.9583333333333334,1222.6001879464206,0.8405253278316864,0.9565217391304348,0.9980179915392564,0.98125,0.9751552795031057,0.9781931464174456,0.4285714285714285,157,3,4,4
ref_mahalanobis_delta,compound_optical,4088,168,0.8928571428571429,1224.4662665829069,0.8434579434266277,0.8325925925925926,0.974826766228133,0.9285714285714286,0.9533333333333334,0.9407894736842104,0.6111111111111112,143,11,7,7
ref_mahalanobis_delta,contrast,4032,224,0.0,1211.0748213665252,0.8505547090946101,,,0.0,0.0,0.0,0.0133928571428571,0,3,0,221
ref_mahalanobis_delta,defocus_blur,3976,280,0.8785714285714286,1222.6001879464206,0.8381418087925072,0.8986131037780966,0.9829907159613448,0.9437751004016064,0.9552845528455284,0.9494949494949496,0.4117647058823529,235,14,11,20
ref_mahalanobis_delta,gaussian_blur,3920,336,0.9196428571428572,1222.6001879464206,0.8310179333232585,0.921970514203524,0.99163231246987,0.9589905362776026,0.9838187702265372,0.9712460063897764,0.4814814814814814,304,13,5,14
ref_mahalanobis_delta,gaussian_noise,4088,168,0.3571428571428571,1222.6001879464206,0.8547161371858375,0.8479938271604938,0.6862289816049971,0.7254901960784313,0.6166666666666667,0.6666666666666666,0.1296296296296296,37,14,23,94
ref_mahalanobis_delta,green_channel_shift,4032,224,0.0357142857142857,850.3304331002571,0.8592222910414983,0.8333333333333333,0.1218897648245474,0.0804597701149425,0.875,0.1473684210526315,0.3703703703703703,7,80,1,136
ref_mahalanobis_delta,illumination,4032,224,0.0,1222.6001879464206,0.8503490396408747,,,0.0,0.0,0.0,0.0044642857142857,0,1,0,223
ref_mahalanobis_delta,impulse_noise,4088,168,0.5714285714285714,1272.651373276053,0.8548498045916166,0.7627314814814815,0.7626596119917426,0.7340425531914894,0.71875,0.7263157894736842,0.3472222222222222,69,25,27,47
ref_mahalanobis_delta,jpeg,3976,280,0.3035714285714285,1222.6001879464206,0.8637827882719787,0.8081447963800905,0.6456999331897584,0.4675324675324675,0.8470588235294118,0.602510460251046,0.4205128205128205,72,82,13,113
ref_mahalanobis_delta,motion_blur,4088,168,0.6607142857142857,1222.6001879464206,0.850080109366429,0.8512723249565355,0.9056924895764348,0.8761904761904762,0.8288288288288288,0.8518518518518519,0.2280701754385964,92,13,19,44
ref_mahalanobis_delta,pixelate,4088,168,0.8869047619047619,1222.6001879464206,0.8497913764141665,0.8255033557046981,0.9743053383026772,0.9508196721311476,0.7785234899328859,0.8560885608856088,0.3157894736842105,116,6,33,13
ref_mahalanobis_delta,red_channel_shift,4032,224,0.0223214285714285,1222.6001879464206,0.8531407305145633,0.708675799086758,0.0443115242894598,0.0,0.0,0.0,0.0502283105022831,0,11,5,208
ref_mahalanobis_delta,resize,4088,168,0.1964285714285714,1029.4021331846589,0.8642563320420782,0.5149270482603816,0.2024828956118263,0.1627906976744186,0.4242424242424242,0.2352941176470588,0.5333333333333333,14,72,19,63
ref_mahalanobis_delta,rotation,4032,224,0.4285714285714285,1222.6001879464206,0.8494279171212701,0.9388020833333331,0.8943147274578123,0.7815126050420168,0.96875,0.8651162790697675,0.203125,93,26,3,102
ref_mahalanobis_delta,scratch,4088,168,0.4107142857142857,1222.6001879464206,0.8627810917446795,0.7959303176694481,0.7457122309496325,0.4367088607594936,1.0,0.6079295154185022,0.898989898989899,69,89,0,10
ref_mahalanobis_delta,shot_noise,4088,168,0.8214285714285714,1222.6001879464206,0.850984935770338,0.671256038647343,0.8843211695199077,0.8560606060606061,0.8188405797101449,0.837037037037037,0.6333333333333333,113,19,25,11
ref_mahalanobis_delta,zoom_blur,4088,168,0.8690476190476191,1222.6001879464206,0.8433341111053471,0.9006849315068494,0.9815744431558504,0.9166666666666666,0.9794520547945206,0.9470198675496688,0.5909090909090909,143,13,3,9
ref_mahalanobis,blue_channel_shift,4032,224,0.0089285714285714,1793.501038873343,0.8530744331588483,0.7094594594594594,0.0351653469958081,0.0,0.0,0.0,0.054054054054054,0,12,2,210
ref_mahalanobis,compound,4088,168,1.0,1793.501038873343,0.8407407402431842,,,1.0,0.9583333333333334,0.9787234042553192,0.0,161,0,7,0
ref_mahalanobis,compound_digital,4088,168,0.8630952380952381,1793.501038873343,0.8461538456562679,0.8746626686656671,0.9749522294647835,0.9485294117647058,0.8896551724137931,0.9181494661921707,0.3043478260869565,129,7,16,16
ref_mahalanobis,compound_field,4088,168,0.9583333333333334,1793.501038873343,0.8416917027609327,0.935226264418811,0.9970018259706298,0.968944099378882,0.968944099378882,0.968944099378882,0.7142857142857143,156,5,5,2
ref_mahalanobis,compound_optical,4088,168,0.8928571428571429,1793.501038873343,0.8445774805061284,0.8322222222222223,0.9752961065402168,0.9166666666666666,0.9533333333333334,0.934640522875817,0.7222222222222222,143,13,7,5
ref_mahalanobis,contrast,4032,224,0.0,1793.501038873343,0.850871529521355,,,0.0,0.0,0.0,0.0089285714285714,0,2,0,222
ref_mahalanobis,defocus_blur,3976,280,0.8785714285714286,1793.501038873343,0.8387563263281336,0.8958632233381156,0.9831911329543346,0.9330708661417324,0.9634146341463414,0.948,0.5,237,17,9,17
ref_mahalanobis,gaussian_blur,3920,336,0.9196428571428572,1783.722006169217,0.8321348866834704,0.9225698190099486,0.9918880589972608,0.9558359621451104,0.9805825242718448,0.9680511182108626,0.5185185185185185,303,14,6,13
ref_mahalanobis,gaussian_noise,4088,168,0.3571428571428571,1783.722006169217,0.8541850215287031,0.8484567901234568,0.7125819198958736,0.711864406779661,0.7,0.7058823529411764,0.1574074074074074,42,17,18,91
ref_mahalanobis,green_channel_shift,4032,224,0.0357142857142857,1793.501038873343,0.8588850169231326,0.8240740740740742,0.1257465501895378,0.1020408163265306,0.625,0.175438596491228,0.2037037037037037,5,44,3,172
ref_mahalanobis,illumination,4032,224,0.0,1793.501038873343,0.8505054845525617,,,0.0,0.0,0.0,0.0,0,0,0,224
ref_mahalanobis,impulse_noise,4088,168,0.5714285714285714,1793.501038873343,0.8539325837717572,0.7735821759259258,0.7924900099861325,0.7475728155339806,0.8020833333333334,0.7738693467336684,0.3611111111111111,77,26,19,46
ref_mahalanobis,jpeg,3976,280,0.3035714285714285,1783.722006169217,0.8655633638178057,0.8062745098039216,0.6502552810051423,0.4417177914110429,0.8470588235294118,0.5806451612903226,0.4666666666666667,72,91,13,104
ref_mahalanobis,motion_blur,4088,168,0.6607142857142857,1793.501038873343,0.8501694910276159,0.8436857910542122,0.9088042366683298,0.8495575221238938,0.8648648648648649,0.8571428571428571,0.2982456140350877,96,17,15,40
