dataset,backbone,condition,image_idx,sgi,sgi_c0,sgi_c1,sgi_c2
WRD25,efficientnet_b3,clean,42,0.008709343112244899,0.0034877232142857145,0.00045838647959183676,0.004763233418367347
WRD25,efficientnet_b3,clean,43,0.008131377551020409,0.0014548788265306123,0.002889827806122449,0.003786670918367347
WRD25,efficientnet_b3,clean,44,0.023975605867346938,0.009825414540816327,0.0006975446428571429,0.013452646683673469
WRD25,efficientnet_b3,clean,45,0.01189811862244898,0.008091517857142858,0.0016741071428571428,0.0021324936224489796
WRD25,efficientnet_b3,clean,46,0.005121970663265306,3.985969387755102e-05,0.0027503188775510204,0.002331792091836735
WRD25,efficientnet_b3,clean,47,0.0029097576530612247,0.0015545280612244898,0.0002192283163265306,0.001136001275510204
WRD25,efficientnet_b3,clean,48,0.003826530612244898,0.0002192283163265306,0.001096141581632653,0.0025111607142857145
WRD25,efficientnet_b3,clean,49,0.0042251275510204085,0.0003786670918367347,0.0011559311224489796,0.002690529336734694
WRD25,efficientnet_b3,clean,50,0.01038345025510204,0.0024115114795918366,0.0005978954081632653,0.007374043367346939
WRD25,efficientnet_b3,clean,51,0.007393973214285714,0.0001992984693877551,0.003866390306122449,0.00332828443877551
WRD25,efficientnet_b3,clean,52,0.005978954081632653,0.0005381058673469387,0.004444355867346939,0.0009964923469387755
WRD25,efficientnet_b3,clean,53,0.017996651785714284,0.006955516581632653,0.0014748086734693877,0.009566326530612245
WRD25,efficientnet_b3,clean,54,0.0071548150510204085,0.00625797193877551,0.00013950892857142856,0.0007573341836734694
